"campaignid","sample","family","genus","species","length","number","range"
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Serranidae","Plectropomus","spp",263.37158,1,1771.42286
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Serranidae","Plectropomus","spp",296.2614,1,1753.67044
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Serranidae","Plectropomus","spp",254.22717,1,2671.55332
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Nemipteridae","Pentapodus","emeryii",263.03176,1,1142.3587
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Nemipteridae","Pentapodus","emeryii",226.53799,1,1141.3983
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Nemipteridae","Pentapodus","emeryii",261.06502,1,1163.21886
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Choerodon","cyanodus",224.7345,1,2045.27296
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Choerodon","cyanodus",288.47543,1,1766.74836
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Choerodon","cyanodus",248.18052,1,2015.30823
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Choerodon","cyanodus",294.51156,1,2359.94959
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Nemipteridae","Pentapodus","emeryii",259.33047,1,1367.14795
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Grammistidae","Diploprion","bifasciatum",160.3842,1,3081.15314
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","nebulosus",304.10024,1,3444.56242
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lutjanidae","Lutjanus","carponotatus",255.02293,1,1424.00509
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","psittacus",233.5504,1,2198.25106
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Lethrinidae","Lethrinus","laticaudis",367.49092,1,2799.34025
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","prasiognathos",346.3942,1,2411.03462
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Pomacanthidae","Pomacanthus","sexstriatus",149.45552,1,2271.74987
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Pomacanthidae","Pomacanthus","sexstriatus",217.00057,1,3011.36858
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Pomacanthidae","Pomacanthus","sexstriatus",273.79092,1,3512.67904
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Pomacanthidae","Chaetodontoplus","duboulayi",237.37023,1,1749.69825
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Labridae","Hologymnosus","doliatus",291.45161,1,4118.43619
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Pomacanthidae","Pomacanthus","semicirculatus",278.01589,1,2479.41965
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Pomacanthidae","Pomacanthus","semicirculatus",243.59299,1,2416.89536
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Siganidae","Siganus","punctatus",244.45329,1,2520.64088
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","ghobban",251.70245,1,2932.69665
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Scaridae","Scarus","ghobban",502.05255,1,2809.15251
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB593","Nemipteridae","Scolopsis","bilineata",134.03374,1,3006.56915
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Pomacentridae","Pomacentrus","nagasakiensis",60.95357,1,1132.82135
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Balistidae","Sufflamen","chrysopterum",166.73457,1,3206.32283
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Serranidae","Plectropomus","spp",282.51336,1,3579.79212
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Scaridae","Chlorurus","capistratoides",327.66872,1,3021.27196
"2014-10_Montebello.sanctuaries_stereoBRUVs","NCB568","Acanthuridae","Acanthurus","grammoptilus",215.2465,1,2614.57099
